sourceId,destinationId,rel
10930001,31570000,is-a
109301001,284003005,is-a
223458004,223474009,is-a
223474009,14734007,is-a
223475005,223474009,is-a
109333005,240196003,is-a
109334004,128225009,is-a
109355002,55342001,is-a
109363001,36118008,is-a
224107004,365474007,is-a
224161001,365574009,is-a
109386008,109385007,is-a
109389001,109385007,is-a
109420003,105986008,is-a
10942006,4365001,is-a
224773006,308911007,is-a
224774000,224773006,is-a
224884006,285201006,is-a
224891009,224930009,is-a
224898003,303624006,is-a
224898003,334251007,is-a
224930009,308913005,is-a
224959009,271616002,is-a
224959009,105726004,is-a
224960004,84229001,is-a
224965009,225873007,is-a
224994002,8943002,is-a
224998004,106138009,is-a
225143001,302436000,is-a
225162003,284365007,is-a
225211008,225214000,is-a
225217007,282259008,is-a
225314003,14734007,is-a
225351009,225365006,is-a
225355000,225365006,is-a
225364005,225365006,is-a
225365006,243120004,is-a
225452001,2073000,is-a
225454000,106134006,is-a
225477000,225481000,is-a
225481000,284490008,is-a
225525008,116336009,is-a
225541009,225542002,is-a
225542002,106076001,is-a
225544001,106076001,is-a
225565007,30473006,is-a
225566008,29857009,is-a
225578007,116336009,is-a
225585006,309794002,is-a
225587003,118434000,is-a
225587003,249496004,is-a
225606002,298325004,is-a
225624000,79823003,is-a
225652009,365186001,is-a
225670007,118891001,is-a
225706007,108329005,is-a
225706007,284465006,is-a
225723003,118202007,is-a
225790006,284465006,is-a
225790006,844005,is-a
225793008,225790006,is-a
225818009,225793008,is-a
225818009,65367001,is-a
109549008,90678009,is-a
225873007,106126000,is-a
225885004,225400002,is-a
109558001,359557001,is-a
226080004,89927005,is-a
226083002,112698002,is-a
226374001,2331003,is-a
226379006,229918000,is-a
109610001,18718003,is-a
109610001,299709002,is-a
109683005,36202009,is-a
109686002,16119006,is-a
10971007,34896006,is-a
228157003,21134002,is-a
228272008,363896009,is-a
228273003,116336009,is-a
109800008,128337009,is-a
228366006,365949003,is-a
228372006,361055000,is-a
10981006,4441000,is-a
228395002,365985003,is-a
228440007,228366006,is-a
228594004,84478008,is-a
228623005,228594004,is-a
109850001,109355002,is-a
109853004,126876006,is-a
228955007,228870009,is-a
229057006,308557000,is-a
229058001,229057006,is-a
229060004,224773006,is-a
109888004,189336000,is-a
229301009,34431008,is-a
229301009,23426006,is-a
229306004,34431008,is-a
229315006,91251008,is-a
109913001,126965008,is-a
109913001,92048008,is-a
229499000,309688004,is-a
229712006,268674003,is-a
229721007,1145003,is-a
229747003,20301004,is-a
109958007,118616009,is-a
109962001,118601006,is-a
229811005,201040000,is-a
229817009,87591000,is-a
109966003,109962001,is-a
109966003,277626001,is-a
109969005,109962001,is-a
229931005,118717007,is-a
229931005,118677009,is-a
109977009,277613000,is-a
109978004,118601006,is-a
109979007,118601006,is-a
109984001,68979007,is-a
230126006,225525008,is-a
230145002,366139009,is-a
230150008,23502006,is-a
230161000,34476008,is-a
230181004,312215006,is-a
230199007,62950007,is-a
230226000,118940003,is-a
230241000,95646004,is-a
230270009,230273006,is-a
230274000,230270009,is-a
230278002,230273006,is-a
110014005,262595009,is-a
230292008,32798002,is-a
110015006,43566003,is-a
230296006,230292008,is-a
230298007,230226000,is-a
230315008,15802004,is-a
230330004,15802004,is-a
230335009,7794004,is-a
230381009,84757009,is-a
230386004,15523002,is-a
230387008,230386004,is-a
230390002,230381009,is-a
230394006,230390002,is-a
230404004,230390002,is-a
230460005,29753000,is-a
230467008,37796009,is-a
230470007,230461009,is-a
230478000,230461009,is-a
230479008,230478000,is-a
230535008,64309007,is-a
230572002,230571009,is-a
230619007,73590005,is-a
230638003,230637008,is-a
230643005,230637008,is-a
230651008,48522003,is-a
230655004,22722001,is-a
230669004,91637004,is-a
230672006,230669004,is-a
230690007,62914000,is-a
230716006,266257000,is-a
230717002,266257000,is-a
230724001,62914000,is-a
230745008,81308009,is-a
230746009,230745008,is-a
230751003,4088009,is-a
230763008,2032001,is-a
230773005,128188000,is-a
230897007,230896003,is-a
230898002,230897007,is-a
230898002,119789006,is-a
230934004,230896003,is-a
230938001,230937006,is-a
230984006,76879002,is-a
230984006,118886002,is-a
230985007,26083004,is-a
230990005,230987004,is-a
231477003,75544000,is-a
110151001,65759007,is-a
231487004,48500005,is-a
231500002,35489007,is-a
231504006,197480006,is-a
231516000,18193002,is-a
231516000,238959007,is-a
231517009,31297008,is-a
231519007,111475002,is-a
231520001,74732009,is-a
231522009,72366004,is-a
231527003,191765005,is-a
231528008,33449004,is-a
110158007,110151001,is-a
231536004,35919005,is-a
231543005,278919001,is-a
231813003,60113004,is-a
231838008,60113004,is-a
231851003,262754009,is-a
231892007,91514001,is-a
231894008,231892007,is-a
231897001,91514001,is-a
231939004,15250008,is-a
232035005,73757007,is-a
232099002,16596007,is-a
232116007,22066006,is-a
232120006,72124005,is-a
232143002,68158006,is-a
232173006,118730008,is-a
232214001,43275000,is-a
232216004,41663005,is-a
232217008,232216004,is-a
232230009,94146005,is-a
232230009,11218009,is-a
232297009,25906001,is-a
232340005,89488007,is-a
232379004,89488007,is-a
232397007,40055000,is-a
232424006,23023009,is-a
232424006,262604009,is-a
232425007,23023009,is-a
232440009,75547007,is-a
232474008,88733004,is-a
232482008,172801000,is-a
232483003,51302004,is-a
110276005,3218000,is-a
232522007,108003002,is-a
110282008,87858002,is-a
110298001,116337000,is-a
110299009,110298001,is-a
232721002,232717009,is-a
232740008,73544002,is-a
232744004,174980001,is-a
232817000,175103009,is-a
232819002,232817000,is-a
232854009,73544002,is-a
232868002,307799000,is-a
232868002,232854009,is-a
232884001,232882002,is-a
232885000,232884001,is-a
232986003,232985004,is-a
232987007,232986003,is-a
232987007,70383000,is-a
232994005,232985004,is-a
233154000,118797008,is-a
233184008,233174007,is-a
233199008,265859004,is-a
233207009,118810001,is-a
233207009,265488007,is-a
233296007,66951008,is-a
233316005,118805000,is-a
233329005,233327007,is-a
233330000,3819004,is-a
233331001,13419005,is-a
233332008,13419005,is-a
110364008,22253000,is-a
233335005,118805000,is-a
233372004,116360008,is-a
233404000,103716009,is-a
233437003,233432009,is-a
233440003,233432009,is-a
233442006,233440003,is-a
233444007,116361007,is-a
233456008,2677003,is-a
233598009,312371005,is-a
233601004,16146001,is-a
233601004,312371005,is-a
233607000,34020007,is-a
233613009,312342009,is-a
233614003,76627001,is-a
233614003,233613009,is-a
233618000,84353005,is-a
233619008,233604007,is-a
233628009,12295008,is-a
233658003,73725006,is-a
233661002,233660001,is-a
233679003,195967001,is-a
233746005,83336007,is-a
233759002,17996008,is-a
233776003,128272009,is-a
233787006,22668006,is-a
233791001,41427001,is-a
233792008,233791001,is-a
233792008,61018003,is-a
233793003,233791001,is-a
233795005,50417007,is-a
233795005,41427001,is-a
233838001,57054005,is-a
